,Y_validation,date,lpred
803,27.69,2015-12-15,27.73254257090889
804,79.37,2015-12-16,81.06186578246671
805,45.91,2015-12-17,46.05315340257776
806,70.57,2015-12-18,70.79356420739259
807,42.45,2015-12-21,42.21194828783534
808,27.03,2015-12-22,27.059559106828605
809,23.5,2015-12-23,23.562479547842358
810,27.26,2015-12-24,26.987346813594385
811,30.05,2015-12-28,30.12670236658952
812,25.15,2015-12-29,25.634864524055217
813,26.72,2015-12-30,26.76659355548665
814,31.37,2015-12-31,31.34814050851317
815,31.11,2016-01-04,31.011989182769852
816,29.78,2016-01-05,29.756726110351394
817,48.1,2016-01-06,48.434694045713094
818,55.8,2016-01-07,55.640646040428564
819,29.76,2016-01-08,29.786595600822583
820,84.16,2016-01-11,84.24903046315632
821,26.455,2016-01-12,26.43298087891917
822,30.09,2016-01-13,30.171344837664996
823,34.325,2016-01-14,34.234861648827795
824,73.12,2016-01-15,74.57771662978854
825,52.0,2016-01-19,52.04881114069592
826,46.39,2016-01-20,45.98754976705168
827,52.11,2016-01-21,52.004405422456394
828,29.7701,2016-01-22,29.6834247858335
829,38.31,2016-01-25,38.3918362667163
830,51.82,2016-01-26,51.89994704180534
831,28.24,2016-01-27,28.041222676730445
832,22.55,2016-01-28,22.492839502000194
833,53.86,2016-01-29,53.58132818459124
834,49.85,2016-02-01,50.11221085963306
835,27.83,2016-02-02,27.61128383169751
836,72.79,2016-02-03,72.72897419436772
837,27.66,2016-02-04,27.66184295733864
838,132.31,2016-02-05,132.2971448620181
839,28.99,2016-02-08,28.850846792748197
840,22.63,2016-02-09,22.743420092561216
841,40.29,2016-02-10,40.39067413784992
842,102.06,2016-02-11,102.4916427324776
843,50.56,2016-02-12,50.49968523456226
844,51.36,2016-02-16,50.98445273071701
845,61.37,2016-02-17,61.00112925833675
846,21.4,2016-02-18,21.266076222943617
847,27.22,2016-02-19,27.312529741581205
848,24.9,2016-02-22,24.665134615721072
849,55.05,2016-02-23,55.51164377360082
850,27.69,2016-02-24,27.52230479045822
851,79.37,2016-02-25,79.49506913434062
852,46.96,2016-02-26,47.51195480482971
853,68.94,2016-02-29,70.76830218263294
854,25.18,2016-03-01,25.203962959237728
855,57.38,2016-03-02,57.90200107948371
856,28.16,2016-03-03,27.72555280345402
857,30.86,2016-03-04,30.912714112165762
858,30.0999,2016-03-07,30.298247791183783
859,62.31,2016-03-08,62.83528981693416
860,113.57,2016-03-09,113.38604982451596
861,26.07,2016-03-10,26.133281466574275
862,28.605,2016-03-11,28.540028556718145
863,99.37,2016-03-14,100.60965055217008
864,55.88,2016-03-15,56.45412182276717
865,27.14,2016-03-16,27.015808580009786
866,23.99,2016-03-17,24.057893448199263
867,23.31,2016-03-18,23.32265278621043
868,111.95,2016-03-21,112.39224979978576
869,36.62,2016-03-22,36.65973830813137
870,62.49,2016-03-23,62.26045358015448
871,44.05,2016-03-24,44.74796101039237
872,26.11,2016-03-28,25.96077024087278
873,30.4498,2016-03-29,32.18538504206278
874,57.46,2016-03-30,57.53064786948509
875,83.87,2016-03-31,83.95275618414493
876,30.452,2016-04-01,30.31852879827083
877,54.13,2016-04-04,53.81689913466963
878,34.46,2016-04-05,34.328441791900985
879,26.64,2016-04-06,26.518526399719633
880,115.31,2016-04-07,115.692557635163
881,53.53,2016-04-08,53.465291419880295
882,50.27,2016-04-11,50.14238103852172
883,33.53,2016-04-12,33.355497112592374
884,53.86,2016-04-13,54.087616374947466
885,74.34,2016-04-14,74.43660769107453
886,28.22,2016-04-15,27.96024812493827
887,47.78,2016-04-18,47.58607924838854
888,69.31,2016-04-19,69.8473022752651
889,28.05,2016-04-20,28.104846044418483
890,24.72,2016-04-21,23.63895285477238
891,69.12,2016-04-22,68.81082384360698
892,47.02,2016-04-25,47.291044298078724
893,110.69,2016-04-26,110.77348423412603
894,27.44,2016-04-27,27.404615243780118
895,44.3,2016-04-28,44.20689339121591
896,100.75,2016-04-29,99.55837413322683
897,27.23,2016-05-02,27.303016453443103
898,23.0,2016-05-03,23.422796466408773
899,26.69,2016-05-04,26.73491045110332
900,93.0,2016-05-05,92.5507054860748
901,73.94,2016-05-06,73.91658237396679
902,52.78,2016-05-09,52.48401020823104
903,23.91,2016-05-10,23.831707997810028
904,115.25,2016-05-11,114.66313794947484
905,84.94,2016-05-12,86.5826514249114
906,92.56,2016-05-13,91.91948586383529
907,156.25,2016-05-16,155.75593777521433
908,133.56,2016-05-17,131.9155319224406
909,20.26,2016-05-18,20.483864289311036
910,30.74,2016-05-19,30.809427118361793
911,38.18,2016-05-20,37.89249759790375
912,20.25,2016-05-23,20.680589064210643
913,95.0,2016-05-24,94.46874768932773
914,51.44,2016-05-25,51.3609521723618
915,28.6499,2016-05-26,28.580040486793038
916,25.44,2016-05-27,25.26088742101854
917,70.62,2016-05-31,70.3444525463725
918,83.87,2016-06-01,83.67482461519923
919,23.53,2016-06-02,23.65556632466063
920,26.16,2016-06-03,26.12957022801396
921,44.055,2016-06-06,44.12504559814036
922,25.8,2016-06-07,25.790362554292148
923,47.59,2016-06-08,47.74971613039692
924,23.74,2016-06-09,23.71901840861021
925,98.31,2016-06-10,97.40623443124784
926,26.6,2016-06-13,26.744834397154627
927,23.64,2016-06-14,23.67247975799097
928,27.85,2016-06-15,27.814642595550968
929,70.75,2016-06-16,70.76719594459856
930,26.46,2016-06-17,26.606547809827177
931,29.54,2016-06-20,29.560745820751087
932,29.765,2016-06-21,30.112957266612902
933,25.01,2016-06-22,25.12806157379818
934,54.19,2016-06-23,53.54934510273554
935,32.12,2016-06-24,31.958641649427893
936,69.62,2016-06-27,69.79831410804385
937,66.88,2016-06-28,66.38977181895922
938,28.47,2016-06-29,28.53149685236513
939,37.175,2016-06-30,37.18100821395457
940,104.12,2016-07-01,103.00682179991051
941,25.25,2016-07-05,25.388354370514307
942,109.67,2016-07-06,110.13808416692328
943,21.83,2016-07-07,21.694490597183893
944,95.56,2016-07-08,93.43162959716682
945,78.94,2016-07-11,78.91736370348454
946,68.93,2016-07-12,69.3154323396549
947,49.94,2016-07-13,50.1303577219276
948,26.0,2016-07-14,26.037843122106707
949,30.33,2016-07-15,30.33155786054884
950,95.0,2016-07-18,94.63438999525701
951,60.63,2016-07-19,60.50938742042857
952,25.81,2016-07-20,25.480700991701227
953,59.44,2016-07-21,59.54697396066585
954,85.5,2016-07-22,85.51988228361014
955,53.59,2016-07-25,53.46822039641941
956,63.62,2016-07-26,63.48075771795098
957,60.56,2016-07-27,60.12133971128966
958,85.4,2016-07-28,85.36367162538276
959,142.19,2016-07-29,142.33980161019272
960,27.79,2016-08-01,27.781438155839822
961,94.25,2016-08-02,93.91693357507884
962,69.86,2016-08-03,69.69740971245523
963,26.7097,2016-08-04,26.544099027904345
964,28.35,2016-08-05,28.465878072433572
965,26.81,2016-08-08,26.892536830877035
966,57.9,2016-08-09,56.42937547666156
967,36.38,2016-08-10,36.272644608787715
968,41.695,2016-08-11,41.577024866113405
969,22.76,2016-08-12,22.78442616932248
970,113.21,2016-08-15,113.18028101808513
971,27.09,2016-08-16,27.066364176096986
972,19.32,2016-08-17,19.26975039041021
973,26.39,2016-08-18,26.438901360599736
974,46.7,2016-08-19,46.86978242460526
